# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.85,5.0,0.8001820209632223,0,3.0,-107.92818288763615,180.0,0.0,0.0
 0.016945199677470026,1.8504306676852038,5.000006015014513,0.8001820209632223,0.05083559903241008,3.0,-107.92818288763615,180.0,-329.2041141368281,0.0
 0.027964681371258553,1.8511720893935195,4.999969397029313,-2.8274766882874234,0.08389404411377566,2.9999999999999996,-28.620934724278264,180.0,-139.43775232522404,0.0
 0.03851972425889637,1.8522217460773862,4.999890486798628,-4.299248144235983,0.11555917277668909,2.999999999999999,-11.519937883583628,180.0,-76.7500119123283,0.0
 0.04889720126552439,1.8535771186892431,4.999769625076688,-5.095719628114597,0.14669160379657314,2.999999999999999,-5.754862176350117,180.0,-48.549548829429924,0.0
 0.05917720721930089,1.8552356881815288,4.999607152617724,-5.594809279134299,0.17753162165790265,2.999999999999999,-3.283468702654334,180.0,-33.48800617659751,0.0
 0.0693912829549528,1.8571949355066832,4.999403410175963,-5.936858310458045,0.20817384886485832,2.999999999999996,-2.0502657504704214,180.0,-24.50684335302373,0.0
 0.07955439286957693,1.8594523416171451,4.999158738505634,-6.185924053115301,0.23866317860873068,2.9999999999999973,-1.3666535551564114,180.0,-18.72277631429227,2.8084280768640524e-12
 0.08967454145537951,1.8620053874653535,4.998873478360968,-6.375401331354683,0.2690236243661384,2.9999999999999987,-0.9572255638586017,180.00000000000003,-14.779472228430333,-2.8190981423395616e-12
 0.09975638607211815,1.8648515540037476,4.998547970496194,-6.524405673879122,0.2992691582163543,2.9999999999999973,-0.6970175775372068,180.0,-11.970608230976932,0.0
 0.10980280999841577,1.8679883221847662,4.998182555665542,-6.644667478823144,0.32940842999524717,3.0,-0.5236840807744227,180.0,-9.89891029300325,0.0
 0.1198156843902471,1.8714131729608485,4.997777574623238,-6.743784024202992,0.35944705317074116,2.9999999999999987,-0.40372650533195104,180.0,-8.326995022123018,0.0
 0.12979626858245005,1.8751235872844338,4.997333368123515,-6.826892299089345,0.3893888057473501,3.000000000000007,-0.3180398287820765,180.0,-7.105919043099884,0.0
 0.1397454343373111,1.8791170461079612,4.9968502769206005,-6.89759026548977,0.4192363030119332,3.0,-0.25518008756708843,180.0,-6.138387335070555,2.8655643035786493e-12
 0.14966379819845693,1.8833910303838695,4.996328641768724,-6.958473024599649,0.44899139459537074,3.0000000000000027,-0.20800469108802724,180.00000000000003,-5.358656729436743,-2.8743624026776693e-12
 0.1595518030665721,1.8879430210645978,4.9957688034221155,-7.011459448426877,0.4786554091997162,2.9999999999999973,-0.17189712135295662,180.0,-4.721005301103986,0.0
 0.16940977035212923,1.892770499102585,4.995171102635003,-7.057998964240102,0.5082293110563876,2.9999999999999973,-0.1437823762900285,180.0,-4.19283516935469,0.0
 0.17923793437901456,1.8978709454502714,4.994535880161617,-7.099206836022214,0.5377138031370435,2.9999999999999973,-0.1215578721628733,180.0,-3.750396742707336,0.0
 0.18903646570442204,1.9032418410600946,4.993863476756187,-7.1359552159883375,0.567109397113266,3.0000000000000058,-0.10375245914764551,180.0,-3.3760543836813968,-2.9093711314432697e-12
 0.19880548730611253,1.9088806668844946,4.99315423317294,-7.168935964191003,0.5964164619183375,3.0000000000000027,-0.08931559917376496,179.99999999999997,-3.056489675548814,2.918160199160232e-12
 0.20854508605692237,1.91478490387591,4.992408490166107,-7.198704947216842,0.625635258170767,2.9999999999999973,-0.07748334739280074,180.0,-2.7814919615719793,0.0
 0.21825532101185893,1.9209520329867802,4.991626588489918,-7.225713887688973,0.6547659630355768,3.0000000000000058,-0.06769103008240558,180.0,-2.5431266133128636,0.0
 0.22793622949403974,1.927379535169544,4.990808868898602,-7.250333663691054,0.6838086884821192,2.9999999999999973,-0.05951507150951183,180.0,-2.33515192709952,0.0
 0.23758783163190103,1.934064891376641,4.989955672146388,-7.272871621022878,0.712763494895703,2.9999999999999973,-0.05263346609172933,180.0,-2.1526032177055554,2.9537327937594e-12
 0.24721013378816004,1.9410055825605095,4.989067338987504,-7.293584619606176,0.74163040136448,2.9999999999999973,-0.04679842026530009,180.00000000000003,-1.9914914540173767,-2.9627558790072553e-12
 0.25680313118352,1.9481990896735892,4.988144210176181,-7.3126889919374465,0.7704093935505599,3.0000000000000058,-0.04181711493544149,180.0,-1.8485817380126028,-2.971838577254366e-12
 0.26636680992702105,1.955642893668319,4.987186626466647,-7.330368233810902,0.7991004297810631,3.0,-0.03753796276048282,179.99999999999997,-1.7212283551295422,0.0
 0.27590114860357745,1.9633344754971382,4.986194928613133,-7.346779007888399,0.8277034458107323,3.0,-0.03384066309565427,179.99999999999997,-1.6072504412727553,5.980388505975054e-12
 0.2854061195271245,1.9712713161124855,4.985169457369867,-7.3620558765995545,0.8562183585813736,3.0000000000000115,-0.030628906488814358,180.00000000000003,-1.5048372268646697,-2.9994722002317075e-12
 0.2948816897385132,1.9794508964668005,4.984110553491078,-7.376315067399422,0.8846450692155396,3.0,-0.027824962606199245,180.0,-1.4124750977532818,0.0
 0.30432782180658463,1.9878706975125215,4.983018557730996,-7.389657493715662,0.912983465419754,3.0,-0.025365623533153588,180.0,-1.3288908894301499,0.0
 0.31374447447607745,1.9965282002020885,4.981893810843851,-7.402171197657079,0.9412334234282324,2.9999999999999942,-0.023199128937047474,180.0,-1.2530074279537282,0.0
